absolute_path,relative_path,filename,duration_seconds
C:\Users\User\Desktop\llab2pp\sounds\39-preview.mp3,39-preview.mp3,39-preview.mp3,26
C:\Users\User\Desktop\llab2pp\sounds\3-preview.mp3,3-preview.mp3,3-preview.mp3,11
C:\Users\User\Desktop\llab2pp\sounds\2727-preview.mp3,2727-preview.mp3,2727-preview.mp3,19
C:\Users\User\Desktop\llab2pp\sounds\1613-preview.mp3,1613-preview.mp3,1613-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\2706-preview.mp3,2706-preview.mp3,2706-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\1561-preview.mp3,1561-preview.mp3,1561-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\2727-preview.mp3,2727-preview.mp3,2727-preview.mp3,19
C:\Users\User\Desktop\llab2pp\sounds\2719-preview.mp3,2719-preview.mp3,2719-preview.mp3,13
C:\Users\User\Desktop\llab2pp\sounds\2719-preview.mp3,2719-preview.mp3,2719-preview.mp3,13
C:\Users\User\Desktop\llab2pp\sounds\2727-preview.mp3,2727-preview.mp3,2727-preview.mp3,19
C:\Users\User\Desktop\llab2pp\sounds\1642-preview.mp3,1642-preview.mp3,1642-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\1599-preview.mp3,1599-preview.mp3,1599-preview.mp3,11
C:\Users\User\Desktop\llab2pp\sounds\2930-preview.mp3,2930-preview.mp3,2930-preview.mp3,67
C:\Users\User\Desktop\llab2pp\sounds\1630-preview.mp3,1630-preview.mp3,1630-preview.mp3,15
C:\Users\User\Desktop\llab2pp\sounds\2678-preview.mp3,2678-preview.mp3,2678-preview.mp3,126
C:\Users\User\Desktop\llab2pp\sounds\700-preview.mp3,700-preview.mp3,700-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\1045-preview.mp3,1045-preview.mp3,1045-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\478-preview.mp3,478-preview.mp3,478-preview.mp3,24
C:\Users\User\Desktop\llab2pp\sounds\120-preview.mp3,120-preview.mp3,120-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\532-preview.mp3,532-preview.mp3,532-preview.mp3,23
C:\Users\User\Desktop\llab2pp\sounds\2298-preview.mp3,2298-preview.mp3,2298-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\478-preview.mp3,478-preview.mp3,478-preview.mp3,24
C:\Users\User\Desktop\llab2pp\sounds\122-preview.mp3,122-preview.mp3,122-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\3039-preview.mp3,3039-preview.mp3,3039-preview.mp3,22
C:\Users\User\Desktop\llab2pp\sounds\2484-preview.mp3,2484-preview.mp3,2484-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\478-preview.mp3,478-preview.mp3,478-preview.mp3,24
C:\Users\User\Desktop\llab2pp\sounds\532-preview.mp3,532-preview.mp3,532-preview.mp3,23
C:\Users\User\Desktop\llab2pp\sounds\1232-preview.mp3,1232-preview.mp3,1232-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\2298-preview.mp3,2298-preview.mp3,2298-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\632-preview.mp3,632-preview.mp3,632-preview.mp3,31
C:\Users\User\Desktop\llab2pp\sounds\603-preview.mp3,603-preview.mp3,603-preview.mp3,27
C:\Users\User\Desktop\llab2pp\sounds\2298-preview.mp3,2298-preview.mp3,2298-preview.mp3,16
C:\Users\User\Desktop\llab2pp\sounds\681-preview.mp3,681-preview.mp3,681-preview.mp3,213
C:\Users\User\Desktop\llab2pp\sounds\667-preview.mp3,667-preview.mp3,667-preview.mp3,41
C:\Users\User\Desktop\llab2pp\sounds\360-preview.mp3,360-preview.mp3,360-preview.mp3,36
C:\Users\User\Desktop\llab2pp\sounds\603-preview.mp3,603-preview.mp3,603-preview.mp3,27
C:\Users\User\Desktop\llab2pp\sounds\1554-preview.mp3,1554-preview.mp3,1554-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\162-preview.mp3,162-preview.mp3,162-preview.mp3,36
C:\Users\User\Desktop\llab2pp\sounds\120-preview.mp3,120-preview.mp3,120-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\1921-preview.mp3,1921-preview.mp3,1921-preview.mp3,14
C:\Users\User\Desktop\llab2pp\sounds\2981-preview.mp3,2981-preview.mp3,2981-preview.mp3,51
C:\Users\User\Desktop\llab2pp\sounds\2229-preview.mp3,2229-preview.mp3,2229-preview.mp3,23
C:\Users\User\Desktop\llab2pp\sounds\2531-preview.mp3,2531-preview.mp3,2531-preview.mp3,19
C:\Users\User\Desktop\llab2pp\sounds\444-preview.mp3,444-preview.mp3,444-preview.mp3,120
C:\Users\User\Desktop\llab2pp\sounds\2113-preview.mp3,2113-preview.mp3,2113-preview.mp3,23
C:\Users\User\Desktop\llab2pp\sounds\2484-preview.mp3,2484-preview.mp3,2484-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\1642-preview.mp3,1642-preview.mp3,1642-preview.mp3,12
C:\Users\User\Desktop\llab2pp\sounds\2135-preview.mp3,2135-preview.mp3,2135-preview.mp3,13
C:\Users\User\Desktop\llab2pp\sounds\2399-preview.mp3,2399-preview.mp3,2399-preview.mp3,12
